,UF,Localidade,Faixa de CEP,id
0,AC,Acrelândia,69945-000 a 69949-999,1
1,AC,Assis Brasil,69935-000 a 69939-999,2
2,AC,Brasiléia,69932-000 a 69933-999,3
3,AC,Bujari,69926-000 a 69926-999,4
4,AC,Capixaba,69931-000 a 69931-999,5
5,AC,Cruzeiro do Sul,69980-000 a 69981-999,6
6,AC,Epitaciolândia,69934-000 a 69934-999,7
7,AC,Feijó,69960-000 a 69969-999,8
8,AC,Jordão,69975-000 a 69979-999,9
9,AC,Mâncio Lima,69990-000 a 69999-999,10
10,AC,Manoel Urbano,69950-000 a 69954-999,11
11,AC,Marechal Thaumaturgo,69983-000 a 69984-999,12
12,AC,Plácido de Castro,69928-000 a 69929-999,13
13,AC,Porto Acre,69927-000 a 69927-999,14
14,AC,Porto Walter,69982-000 a 69982-999,15
15,AC,Rio Branco,69900-001 a 69924-999,16
16,AC,Rio Branco,69900-001 a 69923-999,17
17,AC,Rodrigues Alves,69985-000 a 69989-999,18
18,AC,Santa Rosa do Purus,69955-000 a 69959-999,19
19,AC,Sena Madureira,69940-000 a 69944-999,20
20,AC,Senador Guiomard,69925-000 a 69925-999,21
21,AC,Tarauacá,69970-000 a 69974-999,22
22,AC,Xapuri,69930-000 a 69930-999,23
23,AL,Água Branca,57490-000 a 57499-999,24
24,AL,Anadia,57660-000 a 57669-999,25
25,AL,Arapiraca,57300-001 a 57319-999,26
26,AL,Arapiraca,57300-001 a 57317-999,27
27,AL,Atalaia,57690-000 a 57699-999,28
28,AL,Barra de Santo Antônio,57925-000 a 57929-999,29
29,AL,Barra de São Miguel,57180-000 a 57199-999,30
30,AL,Batalha,57420-000 a 57424-999,31
31,AL,Belém,57630-000 a 57634-999,32
32,AL,Belo Monte,57435-000 a 57439-999,33
33,AL,Boca da Mata,57680-000 a 57689-999,34
34,AL,Branquinha,57830-000 a 57839-999,35
35,AL,Cacimbinhas,57570-000 a 57579-999,36
36,AL,Cajueiro,57770-000 a 57779-999,37
37,AL,Campestre,57968-000 a 57969-999,38
38,AL,Campo Alegre,57250-000 a 57254-999,39
39,AL,Campo Grande,57350-000 a 57359-999,40
40,AL,Canapi,57530-000 a 57534-999,41
41,AL,Capela,57780-000 a 57799-999,42
42,AL,Carneiros,57535-000 a 57539-999,43
43,AL,Chã Preta,57760-000 a 57769-999,44
44,AL,Coité do Nóia,57325-000 a 57329-999,45
45,AL,Colônia Leopoldina,57975-000 a 57979-999,46
46,AL,Coqueiro Seco,57140-000 a 57149-999,47
47,AL,Coruripe,57230-000 a 57239-999,48
48,AL,Craíbas,57320-000 a 57324-999,49
49,AL,Delmiro Gouveia,57480-000 a 57489-999,50
50,AL,Dois Riachos,57560-000 a 57569-999,51
51,AL,Estrela de Alagoas,57625-000 a 57629-999,52
52,AL,Feira Grande,57340-000 a 57349-999,53
53,AL,Feliz Deserto,57220-000 a 57229-999,54
54,AL,Flexeiras,57995-000 a 57999-999,55
55,AL,Girau do Ponciano,57360-000 a 57369-999,56
56,AL,Ibateguara,57890-000 a 57899-999,57
57,AL,Igaci,57620-000 a 57624-999,58
58,AL,Igreja Nova,57280-000 a 57289-999,59
59,AL,Inhapi,57545-000 a 57549-999,60
60,AL,Jacaré dos Homens,57430-000 a 57434-999,61
61,AL,Jacuípe,57960-000 a 57964-999,62
62,AL,Japaratinga,57950-000 a 57954-999,63
63,AL,Jaramataia,57425-000 a 57429-999,64
64,AL,Jequiá da Praia,57255-000 a 57256-999,65
65,AL,Joaquim Gomes,57980-000 a 57989-999,66
66,AL,Jundiá,57965-000 a 57967-999,67
67,AL,Junqueiro,57270-000 a 57274-999,68
68,AL,Lagoa da Canoa,57330-000 a 57339-999,69
69,AL,Limoeiro de Anadia,57260-000 a 57264-999,70
